price,market_cap,price_change_pct,price_ma7,volume_ma7,ma20,ma50,macd,macd_signal,macd_histogram,bollinger_middle,bollinger_upper,bollinger_lower,price_roc,price_ma7_diff,ma20_diff,price_lag_1,price_change_pct_lag_1,price_lag_3,price_change_pct_lag_3,price_lag_7,price_change_pct_lag_7,price_rolling_mean_7,price_rolling_std_7,price_rolling_min_7,price_rolling_max_7,volume,volume_change_pct,mcap_to_volume_ratio,volatility,rsi,stoch_k,stoch_d,atr,obv,cci,williams_r,bb_position,volume_lag_1,volume_lag_3,volume_lag_7,day_of_week,month,quarter,is_weekend
0.6648271706219209,0.6619945637430665,0.43569154235286556,0.5928672556965519,0.18023112064914587,0.6148908000020064,0.6464839561762112,0.46728989331324633,0.47011569177255463,0.503765279407737,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.6850549816145937,0.6040042985367573,,,,,,,,,,,0.2023337094238846,-0.2238625774671923,-0.5038313846329052,-0.2722670773156902,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.10868561593025575,-0.1543640949216739,-0.2715306968965083,0.9324175085692433,,,,2,4,2,0
0.6837291416398112,0.679426274728501,0.47280272535053786,0.5928672556965519,0.18023112064914587,0.6148908000020064,0.6464839561762112,0.4744644020491499,0.4716997166713526,0.5167442260208445,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.7229851700988421,0.6301924780627137,0.6648271706219209,0.43569154235286556,,,,,,,,,-0.31620537527085046,-0.7299651123294001,0.08845008983785195,-0.2722670773156902,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.3120261841849545,-0.1543640949216739,-0.2715306968965083,1.0771694737699762,0.20105892747124213,,,3,4,2,0
0.690699180663489,0.6851033829562346,0.44873821564638683,0.5928672556965519,0.18023112064914587,0.6148908000020064,0.6464839561762112,0.48264927138260216,0.47477403409279056,0.5289551622908094,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.7369718011047007,0.6398492822701815,0.6837291416398112,0.47280272535053786,,,,,,,,,-0.4479606304259059,-0.38716403555351403,0.33071883464542157,-0.2722670773156902,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.49339723395663193,-0.1543640949216739,-0.2715306968965083,1.1305462800960593,-0.3168709743491185,,,4,4,2,0
0.6853571557730085,0.6833962734256281,0.42444779623837,0.5928672556965519,0.18023112064914587,0.6148908000020064,0.6464839561762112,0.4868592420282217,0.47816298697841914,0.5315331753608175,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.7262520718874833,0.6324480484659595,0.690699180663489,0.44873821564638683,0.6611578887011943,0.43569154235286556,,,,,,,-0.3514136101249915,-0.03266358928594659,0.15116917371371089,-0.2722670773156902,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.29592745973950163,-0.1543640949216739,-0.2715306968965083,1.089636863807334,-0.44847144262808614,0.1976747771126667,,5,4,2,1
0.7046099917467397,0.6983017521198632,0.47297835664852106,0.5928672556965519,0.18023112064914587,0.6148908000020064,0.6464839561762112,0.4972423240179608,0.48316657947321484,0.5447629682148896,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.7648863337138694,0.6591223420825696,0.6853571557730085,0.42444779623837,0.6802667877706535,0.47280272535053786,,,,,,,-0.8970016544238095,-1.0223970428549425,1.8921257742364945,-0.2722670773156902,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.4024232032871737,-0.1543640949216739,-0.2715306968965083,1.2370757652979356,-0.3520378463545502,-0.3193540109062198,,6,4,2,1
0.745595971397502,0.7414172558613205,0.5148709558832687,0.5928672556965519,0.18023112064914587,0.6148908000020064,0.6464839561762112,0.5205926836399855,0.4923248658322805,0.5788050782215485,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.8471320387725421,0.7159073298558265,0.7046099917467397,0.47297835664852106,0.6873131308259671,0.44873821564638683,,,,,,,-0.8785859013169219,-0.14060906720411134,1.8905943337457944,-0.2722670773156902,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.511989679973986,-0.1543640949216739,-0.2715306968965083,1.5509478527384382,-0.8969849304965346,-0.4507255157717413,,0,4,2,0
0.8549872291213005,0.8492881855092659,0.642647435368739,0.746454543495766,0.15030542972772037,0.6148908000020064,0.6464839561762112,0.579800674916269,0.5127237394232025,0.6709065228976726,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.7621609758109942,0.8674660161499467,0.745595971397502,0.5148709558832687,0.6819126244786601,0.42444779623837,,,0.746454543495766,0.3545901306480794,0.7265104465661202,0.8455957628699755,-0.2250140769248107,1.5990913209450872,0.15778939814696918,0.647782134916794,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.7305359332857727,-0.1543640949216739,-0.2715306968965083,2.388669988504733,-0.8785908123285409,-0.35445969827333,,1,4,2,0
0.7683142444003606,0.7653152600727239,0.2811717694420713,0.7627487595507582,0.13258992886537302,0.6148908000020064,0.6464839561762112,0.5920085787233158,0.5317381620183463,0.6595628151211704,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.576440007262254,0.7473828945657416,0.8549872291213005,0.642647435368739,0.7013762295743758,0.47297835664852106,0.6558823678072913,0.43569154235286556,0.7627487595507582,0.3383377821789372,0.7471661598281717,0.8455957628699755,-0.15983502281565856,-0.10297025655119318,-0.03300661689390559,0.5603457784597958,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.5011214043042856,-0.1543640949216739,-0.2715306968965083,1.7249251940441679,-0.22578680809569057,-0.8984586631102356,0.19140984182995277,2,4,2,0
0.7846500855436267,0.779799239150437,0.46552977552345026,0.7786389340856291,0.13746716707608914,0.6148908000020064,0.6464839561762112,0.6063523782421721,0.5501165978455967,0.6543517617384897,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.5792925154329106,0.7700157692094731,0.7683142444003606,0.2811717694420713,0.7428109004702338,0.5148709558832687,0.6752887782926545,0.47280272535053786,0.7786389340856291,0.32722731890886186,0.7489452226089824,0.8455957628699755,-0.21649703547676702,-0.2667311749745142,0.06203850540515891,0.5005723599455938,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.721087830946489,-0.1543640949216739,-0.2715306968965083,1.8500256455503463,-0.16068432673621763,-0.8800965477165341,-0.3235385301754591,3,4,2,0
0.7705422576163881,0.7650679706269626,0.4088277983344719,0.791210362563269,0.1364956074117465,0.6148908000020064,0.6464839561762112,0.6106508157931567,0.5657683776337534,0.632010494760577,0.6148908000020064,0.6472397917192357,0.46850787530942506,0.4125145795929876,0.5334624834600945,0.7504697477850332,0.7846500855436267,0.46552977552345026,0.8533997116025119,0.642647435368739,0.6824448276942999,0.44873821564638683,0.791210362563269,0.29373414329891506,0.7489452226089824,0.8455957628699755,-0.46782281409568244,-0.5357228428081435,0.488913114788657,0.3203817095255378,-0.19687405547143458,-0.2715306968965079,-0.2145154866443014,-0.08372798301152903,0.5430286992514969,-0.1543640949216739,-0.2715306968965083,1.741987398361799,-0.2172797725198051,-0.22842831628962584,-0.45438142350373184,4,4,2,0
